iter	MultiRMSE
349	13.52918745
350	13.44224634
351	13.39272133
352	13.33120593
353	13.26061478
354	13.18007298
355	13.11634819
356	13.06901991
357	13.02494448
358	12.98757022
359	12.93707906
360	12.86865835
361	12.79636642
362	12.71851426
363	12.63529793
364	12.56313029
365	12.50213828
366	12.4346687
367	12.34071075
368	12.31145426
369	12.26309362
370	12.18038749
371	12.11120824
372	12.05299492
373	11.96215708
374	11.90224224
375	11.86669493
376	11.76586737
377	11.73219179
378	11.6525681
379	11.59653701
380	11.54469795
381	11.47736004
382	11.40496282
383	11.33208809
384	11.2689671
385	11.1776587
386	11.109313
387	11.05558234
388	10.99127895
389	10.94239868
390	10.91262342
391	10.86260746
392	10.80098816
393	10.72366975
394	10.69824029
395	10.6411276
396	10.62517317
397	10.57416031
398	10.53020389
399	10.50236886
